50 25
46 34 42
-20 -39 36
-21 -24 11
42 -32 -32
27 33 -41
-3 -18 -1
44 36 25
6 -38 11
-8 33 15
49 42 -9
38 37 -23
44 -1 -30
13 43 33
-9 6 -5
-49 50 -44
-18 26 -22
50 -16 -7
-27 31 22
-48 -13 15
7 28 -11
-41 -19 18
33 -43 9
19 -15 -40
4 32 -5
42 -29 -42
$
Random Search Heuristic Solution
1: 0
2: 0
3: 0
4: 0
5: 0
6: 1
7: 0
8: 0
9: 0
10: 0
11: 0
12: 0
13: 0
14: 0
15: 0
16: 0
17: 1
18: 1
19: 0
20: 0
21: 0
22: 0
23: 0
24: 0
25: 0
26: 0
27: 1
28: 1
29: 0
30: 0
31: 1
32: 1
33: 1
34: 1
35: 0
36: 0
37: 0
38: 1
39: 1
40: 0
41: 1
42: 1
43: 1
44: 1
45: 0
46: 1
47: 0
48: 1
49: 0
50: 1

Brute Force Solution
1: 0
2: 0
3: 0
4: 0
5: 0
6: 0
7: 0
8: 0
9: 0
10: 0
11: 0
12: 0
13: 1
14: 0
15: 0
16: 0
17: 0
18: 0
19: 0
20: 0
21: 0
22: 0
23: 0
24: 0
25: 1
26: 0
27: 0
28: 0
29: 0
30: 0
31: 0
32: 0
33: 0
34: 1
35: 0
36: 0
37: 0
38: 0
39: 0
40: 0
41: 0
42: 0
43: 0
44: 0
45: 0
46: 0
47: 0
48: 0
49: 0
50: 0
